City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Qaqortoq,GL,2020-01-04 11:18:19,60.72,-46.03,33.8,31,75,9.17
71,Anloga,GH,2020-01-04 11:18:20,5.79,0.9,80.6,21,43,18.34
72,Flinders,AU,2020-01-04 11:18:21,-34.58,150.85,77.0,60,90,21.92
73,Bredasdorp,ZA,2020-01-04 11:18:21,-34.53,20.04,80.6,51,10,9.17
74,Vila Franca Do Campo,PT,2020-01-04 11:18:21,37.72,-25.43,64.4,88,40,12.75
75,Tuktoyaktuk,CA,2020-01-04 11:18:22,69.44,-133.03,-20.16,93,100,8.79
76,Carsamba,TR,2020-01-04 11:18:22,41.2,36.72,48.2,70,75,9.17
77,Khani,GE,2020-01-04 11:18:23,41.96,42.96,55.4,37,17,24.16
78,Kawalu,ID,2020-01-04 11:18:23,-7.38,108.21,73.69,90,92,3.87
79,Falun,SE,2020-01-04 11:18:24,60.61,15.63,37.99,51,7,23.04
80,Buala,SB,2020-01-04 11:18:24,-8.15,159.59,81.95,78,99,5.97
81,Tofte,NO,2020-01-04 11:18:25,59.54,10.56,39.2,44,15,18.34
82,Petropavlovsk-Kamchatskiy,RU,2020-01-04 11:18:25,53.05,158.65,15.8,92,75,2.24
83,Tripoli,GR,2020-01-04 11:18:26,37.51,22.37,59.0,33,0,1.12
84,Kruisfontein,ZA,2020-01-04 11:18:26,-34.0,24.73,86.56,50,68,15.84
85,Punta Arenas,CL,2020-01-04 11:18:27,-53.16,-70.91,48.2,75,58,9.17
86,Kon Tum,VN,2020-01-04 11:18:27,14.36,108.0,62.49,84,76,4.07
87,Fairbanks,US,2020-01-04 11:17:40,64.84,-147.72,-20.0,66,0,4.43
88,Kodiak,US,2020-01-04 11:18:28,39.95,-94.76,30.99,68,1,14.99
89,Stromness,CA,2020-01-04 11:18:28,42.87,-79.55,35.6,93,90,11.41
90,Saint Anthony,US,2020-01-04 11:18:29,43.97,-111.68,15.8,85,75,5.82
91,Esperance,AU,2020-01-04 11:18:29,-33.86,121.89,64.4,52,0,19.46
92,Alliance,US,2020-01-04 11:18:30,40.92,-81.11,43.0,93,90,9.17
93,Butaritari,KI,2020-01-04 11:18:30,3.07,172.79,84.29,80,53,15.5
94,Umm Lajj,SA,2020-01-04 11:18:31,25.02,37.27,65.37,42,61,13.78
95,Sheridan,US,2020-01-04 11:13:51,39.65,-105.03,37.4,64,20,5.82
96,Terenos,BR,2020-01-04 11:18:32,-20.44,-54.87,78.8,78,20,5.82
97,Fort Nelson,CA,2020-01-04 11:18:32,58.81,-122.69,-4.0,76,90,6.93
98,Springbok,ZA,2020-01-04 11:18:32,-29.67,17.88,94.32,10,0,18.43
99,Marsa Matruh,EG,2020-01-04 11:18:33,31.35,27.25,55.4,66,40,16.11
100,Laguna,BZ,2020-01-04 11:18:33,16.17,-88.94,71.6,94,75,4.74
101,Mahebourg,MU,2020-01-04 11:18:34,-20.41,57.7,82.99,78,75,11.41
102,Labuhan,ID,2020-01-04 11:18:34,-2.54,115.51,80.56,74,83,1.05
103,Shirokiy,RU,2020-01-04 11:18:35,53.87,39.17,30.51,83,81,15.66
104,Chokurdakh,RU,2020-01-04 11:18:35,70.62,147.9,-15.7,97,39,3.69
105,Aromashevo,RU,2020-01-04 11:18:36,56.86,68.64,21.88,91,100,15.23
106,Sitka,US,2020-01-04 11:18:36,37.17,-99.65,28.99,85,11,2.13
107,Vila Velha,BR,2020-01-04 11:18:37,-3.71,-38.6,86.0,74,75,6.93
108,Bluff,AU,2020-01-04 11:18:37,-23.58,149.07,73.26,64,0,15.12
109,Bontang,ID,2020-01-04 11:18:38,0.12,117.47,81.3,82,66,7.58
110,Carnarvon,ZA,2020-01-04 11:18:38,-30.97,22.13,97.18,6,0,26.26
111,Belmonte,PT,2020-01-04 11:18:38,40.36,-7.35,64.99,91,3,7.38
112,General Roca,AR,2020-01-04 11:18:39,-39.03,-67.58,73.4,46,19,4.7
113,Barrow,AR,2020-01-04 11:18:39,-38.31,-60.23,75.92,53,0,14.03
114,Constitucion,MX,2020-01-04 11:18:40,23.99,-104.67,34.0,85,5,4.7
115,Alyangula,AU,2020-01-04 11:18:40,-13.85,136.42,84.2,79,56,6.93
116,Nikolskoye,RU,2020-01-04 11:18:40,59.7,30.79,34.0,74,90,17.9
117,Los Llanos De Aridane,ES,2020-01-04 11:18:41,28.66,-17.92,69.8,60,20,5.82
118,Nagua,DO,2020-01-04 11:15:02,19.37,-69.85,71.6,94,40,3.67
119,Sistranda,NO,2020-01-04 11:18:42,63.73,8.83,37.0,86,40,36.91
120,Narsaq,GL,2020-01-04 11:18:42,60.91,-46.05,33.8,31,75,9.17
121,Tubuala,PA,2020-01-04 11:18:43,9.52,-79.03,73.99,94,20,7.63
122,Jamestown,AU,2020-01-04 11:18:43,-33.21,138.6,62.46,53,38,16.44
123,New Norfolk,AU,2020-01-04 11:18:44,-42.78,147.06,59.0,33,75,14.99
124,Bethel,US,2020-01-04 11:18:44,60.79,-161.76,-9.4,57,20,8.05
125,Codrington,AU,2020-01-04 11:18:44,-28.95,153.24,77.0,64,0,5.82
126,Sorong,ID,2020-01-04 11:18:45,-0.86,131.25,74.98,96,100,1.81
127,Davila,PH,2020-01-04 11:18:45,18.47,120.58,77.0,73,40,11.41
128,Tasiilaq,GL,2020-01-04 11:18:46,65.61,-37.64,23.0,53,100,26.4
129,Airai,TL,2020-01-04 11:18:46,-8.93,125.41,69.4,80,100,4.23
130,Neiafu,TO,2020-01-04 11:18:46,-18.65,-173.98,79.3,76,3,12.17
131,Moose Factory,CA,2020-01-04 11:18:47,51.26,-80.61,6.8,92,90,5.82
132,Luderitz,NA,2020-01-04 11:18:47,-26.65,15.16,62.04,87,0,18.05
133,Mogadishu,SO,2020-01-04 11:18:48,2.04,45.34,84.2,66,75,16.11
134,Naze,NG,2020-01-04 11:18:48,5.43,7.07,91.9,19,56,8.19
135,San Patricio,PY,2020-01-04 11:18:49,-26.98,-56.83,78.48,62,27,5.08
136,Shingu,JP,2020-01-04 11:18:49,33.72,135.99,50.0,57,40,12.75
137,East London,ZA,2020-01-04 11:18:50,-33.02,27.91,78.8,88,40,8.05
138,Weligama,LK,2020-01-04 11:18:50,5.97,80.42,82.02,78,53,7.07
139,Ribeira Grande,PT,2020-01-04 11:18:50,38.52,-28.7,64.4,88,40,17.22
140,Torbay,CA,2020-01-04 11:18:51,47.66,-52.73,32.0,92,90,8.05
141,Ancud,CL,2020-01-04 11:18:51,-41.87,-73.83,50.0,76,17,4.7
142,Boda,CF,2020-01-04 11:18:52,4.32,17.47,95.68,12,22,7.38
143,Susanville,US,2020-01-04 11:18:52,40.42,-120.65,48.2,45,1,25.28
144,Roald,NO,2020-01-04 11:18:52,62.58,6.12,37.0,74,75,13.87
145,Khatanga,RU,2020-01-04 11:18:53,71.98,102.47,-10.62,93,95,4.61
146,Kirovohrad,UA,2020-01-04 11:18:53,48.51,32.26,38.64,63,36,9.71
147,Cassia,US,2020-01-04 11:18:54,28.89,-81.47,72.0,92,75,8.05
148,Sabha,LY,2020-01-04 11:18:54,27.03,14.43,56.43,41,0,7.05
149,Alta Floresta,BR,2020-01-04 11:18:54,-9.87,-56.08,71.74,98,100,6.08
150,Burns Lake,CA,2020-01-04 11:18:55,54.23,-125.76,21.25,78,0,7.63
151,Hualmay,PE,2020-01-04 11:18:55,-11.1,-77.61,68.2,86,99,2.95
152,Tilichiki,RU,2020-01-04 11:18:57,60.47,166.1,-1.89,66,84,4.68
153,Lubbenau,DE,2020-01-04 11:18:57,51.87,13.97,42.01,86,75,17.22
154,Sueca,ES,2020-01-04 11:18:57,39.2,-0.31,57.99,66,0,2.24
155,Norman Wells,CA,2020-01-04 11:18:58,65.28,-126.83,-25.6,74,75,2.24
156,Poya,NC,2020-01-04 11:18:58,-21.35,165.16,76.15,76,0,17.27
157,Port-Gentil,GA,2020-01-04 11:18:59,-0.72,8.78,87.8,79,40,10.29
158,Ketchikan,US,2020-01-04 11:18:59,55.34,-131.65,28.4,92,90,3.36
159,Tabou,CI,2020-01-04 11:18:59,4.42,-7.36,88.02,22,1,5.23
160,Grindavik,IS,2020-01-04 11:19:00,63.84,-22.43,33.8,100,90,49.44
161,Tessalit,ML,2020-01-04 11:19:00,20.2,1.01,69.39,17,1,18.45
162,Matagami,NG,2020-01-04 11:19:01,9.67,8.4,91.27,15,2,3.33
163,Aklavik,CA,2020-01-04 11:19:02,68.22,-135.01,-23.8,74,20,2.24
164,Maua,KE,2020-01-04 11:19:03,0.23,37.94,81.81,59,69,4.72
165,Gizycko,PL,2020-01-04 11:19:03,54.04,21.76,35.83,94,91,20.18
166,Musiri,IN,2020-01-04 11:19:03,10.95,78.44,91.4,52,20,6.93
167,Hambantota,LK,2020-01-04 11:19:04,6.12,81.12,87.8,79,40,4.7
168,Borovskoy,KZ,2020-01-04 11:19:04,53.8,64.15,17.49,91,99,14.99
169,Provideniya,RU,2020-01-04 11:19:05,64.42,-173.23,-14.19,77,0,9.1
170,Clyde River,CA,2020-01-04 11:19:05,70.47,-68.59,-23.8,67,1,5.82
171,Hasaki,JP,2020-01-04 11:19:06,35.73,140.83,39.0,74,20,4.7
172,Nioro,GM,2020-01-04 11:19:06,13.79,-15.05,83.03,8,62,15.21
173,Buchanan,LR,2020-01-04 11:19:07,5.88,-10.05,80.6,74,40,12.75
174,Camopi,GF,2020-01-04 11:19:07,3.17,-52.33,77.45,79,91,4.72
175,Peniche,PT,2020-01-04 11:18:16,39.36,-9.38,57.0,76,20,11.41
176,Bonfim,GY,2020-01-04 11:19:08,3.36,-59.84,77.52,68,63,13.15
177,Charters Towers,AU,2020-01-04 11:19:09,-20.07,146.27,73.26,75,48,14.12
178,Belousovka,KZ,2020-01-04 11:19:09,50.13,82.52,21.2,85,75,2.62
179,Cheney,US,2020-01-04 11:19:10,47.49,-117.58,51.8,60,75,13.87
180,Jalu,LY,2020-01-04 11:19:10,29.03,21.55,61.2,48,39,15.5
